Solar,Ultra,Lidar,Temp
185.00,20.27,232.00,174
183.00,20.27,233.00,174
183.00,20.32,232.00,174
183.00,20.32,232.00,174
183.00,20.32,232.00,174
184.00,20.27,231.00,173
183.00,20.27,231.00,174
183.00,20.23,231.00,174
184.00,20.23,233.00,174
183.00,20.23,232.00,174
184.00,20.23,231.00,174
184.00,20.23,231.00,174
184.00,20.23,231.00,174
184.00,20.23,232.00,174
183.00,20.23,232.00,173
183.00,20.23,231.00,174
183.00,20.23,232.00,174
183.00,20.23,233.00,174
183.00,20.23,232.00,174
184.00,20.23,231.00,174
184.00,20.23,233.00,174
184.00,20.23,233.00,174
183.00,20.23,232.00,174
183.00,20.23,232.00,173
182.00,20.23,233.00,174
183.00,20.23,232.00,174
183.00,20.23,232.00,174
183.00,20.23,231.00,173
184.00,20.23,233.00,174
183.00,20.27,231.00,174
181.00,20.27,233.00,174
184.00,20.27,231.00,174
184.00,20.27,232.00,174
183.00,20.27,232.00,174
184.00,20.27,232.00,174
183.00,20.27,232.00,174
184.00,20.27,232.00,174
183.00,20.27,233.00,174
184.00,20.32,233.00,174
183.00,20.32,232.00,174
182.00,20.27,232.00,173
183.00,20.27,232.00,173
183.00,20.23,232.00,174
183.00,20.23,231.00,173
183.00,20.27,232.00,173
182.00,20.27,232.00,173
183.00,20.27,232.00,174
183.00,20.27,232.00,173
183.00,20.27,232.00,173
183.00,20.27,233.00,173
183.00,20.32,231.00,174
183.00,20.32,232.00,173
183.00,20.32,231.00,173
182.00,20.36,232.00,173
183.00,20.36,232.00,173
182.00,20.36,232.00,173
183.00,20.36,232.00,173
182.00,20.36,231.00,173
182.00,20.36,231.00,174
183.00,20.36,232.00,175
183.00,20.36,232.00,174
183.00,20.36,232.00,173
184.00,20.36,232.00,174
182.00,20.36,231.00,174
182.00,20.36,232.00,174
183.00,20.32,232.00,173
182.00,20.32,232.00,173
183.00,20.32,231.00,174
182.00,20.27,231.00,173
182.00,20.27,231.00,174
182.00,20.27,231.00,174
184.00,20.27,232.00,174
182.00,20.32,234.00,174
183.00,20.32,231.00,173
183.00,20.32,232.00,174
184.00,20.32,231.00,174
184.00,20.36,231.00,174
183.00,20.36,232.00,174
184.00,20.36,231.00,174
184.00,20.36,231.00,174
183.00,20.36,230.00,174
184.00,20.41,232.00,174
183.00,20.41,232.00,174
184.00,20.41,232.00,173
184.00,20.41,231.00,175
184.00,20.45,231.00,174
183.00,20.45,231.00,175
183.00,20.41,232.00,175
183.00,20.45,231.00,175
183.00,20.45,232.00,174
183.00,20.45,232.00,174
185.00,20.45,232.00,170
188.00,20.45,53.00,167
187.00,20.50,233.00,164
187.00,20.50,223.00,168
52.00,20.50,231.00,166
187.00,20.50,232.00,168
187.00,20.50,234.00,166
187.00,20.50,231.00,168
187.00,20.50,231.00,173
186.00,20.50,232.00,173
187.00,20.50,231.00,84
188.00,20.41,232.00,84
186.00,20.41,232.00,86
187.00,20.41,232.00,86
187.00,20.41,232.00,86
187.00,20.41,232.00,86
186.00,20.41,232.00,86
187.00,20.41,231.00,88
186.00,20.41,232.00,86
187.00,20.41,233.00,114
